"1.1.3_while_planning_institutional_curriculum,_focus_is_kept_on_the_programme_learning_outcomes_(plos)_and_course_learning_outcomes_(clos)_for_all_programmes_offered_by_the_institution,_which_are_stated_and_communicated_to_teachers_and_students_through",unnamed:_1,unnamed:_2,unnamed:_3
1. Website of the Institution,,,
2. Prospectus,,,
3. Student induction programme,,,
4. Orientation programme for teachers,,,
A. ,Student Induction,Dates,Activities
,B. Ed. 2022-24,08-10-2022,Induction cum Orientation for new Students
,,,Academic Orientation and Discussion of 2 year B. Ed. Curriculum
,,,General Code of Conduct and Discipline
,,,CSCA
,,,Career Guidance and Time Table
,,,SIP in Different Phases
,,,HPU/ NCTE Normas
,,,Academic Calendar
,,,"ICT, Anti Ragging, Examination, Vacation Schedules"
B. ,Teachers Orientation,Dates,Activities
,All Teacher Educators,08-10-2022,Induction cum Orientation for new Students
,,,Academic Orientation and Discussion of 2 year B. Ed. Curriculum
,,,General Code of Conduct and Discipline
,,,CSCA
,,,Career Guidance and Time Table
,,,SIP in Different Phases
,,,HPU/ NCTE Normas
,,,Academic Calendar
,,,"ICT, Anti Ragging, Examination, Vacation Schedules"
