Sl. No.,State/UT,Universities,Colleges,Total
1,Andaman and Nicobar Islands,0,3,3
2,Andhra Pradesh,17,420,437
3,Arunachal Pradesh,3,9,12
4,Assam,9,284,293
5,Bihar,8,174,182
6,Chandigarh,2,15,17
7,Chhattisgarh,9,284,293
8,Dadra and Nagar Haveli,0,3,3
9,Daman and Diu,0,2,2
10,Delhi,21,96,117
11,Goa,1,27,28
12,Gujarat,30,500,530
13,Haryana,19,345,364
14,Himachal Pradesh,10,73,83
15,Jammu and Kashmir,7,118,125
16,Jharkhand,7,142,149
17,Karnataka,36,1022,1058
18,Kerala,8,341,349
19,Ladakh,0,3,3
20,Madhya Pradesh,18,345,363
21,Maharashtra,36,2068,2104
22,Manipur,1,42,43
23,Meghalaya,2,25,27
24,Mizoram,1,26,27
25,Nagaland,1,36,37
26,Odisha,17,306,323
27,Puducherry,2,31,33
28,Punjab,15,288,303
29,Rajasthan,34,273,307
30,Sikkim,3,9,12
31,Tamil Nadu,46,884,930
32,Telangana,16,297,313
33,Tripura,2,24,26
34,Uttar Pradesh,40,627,667
35,Uttarakhand,14,83,97
36,West Bengal,17,417,434
All India,All India,452,9642,10094
